App SKU,App Display Name,BOM Line Items Name Used,Accepted Alternate Match
RAD-MP3-PLAYER,MP3 Player,MP3 Player,
RAD-SD-8GB,8 GB SD Card,8 GB SD Card (for MP3),8 GB SD Card
RAD-PAM8610-AMP,HiLetgo PAM8610 Mini Stereo AMP,HiLetgo PAM8610 Mini Stereo AMP,
RAD-AMP-KNOBS,Potentiometer Control Knobs for Amp,30 PCS 6mm Potentiometer Control Knobs for Amp,Potentiometer Control Knobs for Amp
RAD-12V-5V-USBC,12V to 5V Converter USB-C,12v to 5v Converter USB-C,12V to 5V Converter USB-C
RAD-PWR-DIST-1X12,1x12 Position Power Distribution Board,1X 12 Position Power Distribution Board,1x12 Position Power Distribution Board
RAD-DC-BARREL-GLAND,DC Barrel Glands,DC Barrel Glands,
RAD-CNLINKO-USBC,CNLINKO USB-C Gland,CNLINKO USB-C Gland,
RAD-LP12-4PIN-1M,CNLINKO LP12 4-Pin Circular Connector with 1 Meter Cable,CNLINKO LP12 4-Pin Circular Connector with 1 Meter Cable,
RAD-AUDIO-GLAND,Audio Gland,Audio Gland,
RAD-AUDIO-JUMP-6IN,"6"" Audio Jump Cable Amp & Out","6"" audio jump cable Amp & Out","6"" Audio Jump Cable Amp & Out"
RAD-12V-5A-PIGTAIL-M,12V 5A DC Power Pigtail Cord Male Plug Connectors,"20-Pack 12V 5A DC Power Pigtail Cord Male Plug Connectors, 5.5mm x 2.1mm",12V 5A DC Power Pigtail Cord Male Plug Connectors
