App SKU,App Display Name,Inventory Name Used,Accepted Alternate Match
RAD-IP67-JBOX,IP67 Waterproof Junction Box (11.8x7.9x6.3),IP67 Waterproof Junction Box (11.8x7.9x6.3),IP67 Waterproof Junction Box (check if 7.1”!)
RAD-CWT5015-RTU,4G RTU Remote Terminal Unit CWT5015,4G RTU Remote Terminal Unit CWT5015,CWT5015 4G RTU Remote Terminal Unit CWT5015
RAD-MP3-PLAYER,MP3 Player,MP3 Player,
RAD-SD-8GB,8 GB SD Card (for MP3),8 GB SD Card (for MP3),8 GB SD Card
RAD-PAM8610-AMP,HiLetgo PAM8610 Mini Stereo AMP,HiLetgo PAM8610 Mini Stereo AMP,
RAD-JUMPER-CAPS-254,100pcs California JOS 2.54mm Black Jumper Caps,100pcs California JOS 2.54mm Black Jumper Caps,
RAD-AMP-HOUSING-3D,3d Housing for Amp (Filament),3d Housing for Amp (Filament),3d Housing for Amp
RAD-AMP-KNOBS,30 PCS 6mm Potentiometer Control Knobs for Amp,30 PCS 6mm Potentiometer Control Knobs for Amp,Potentiometer Control Knobs for Amp
RAD-12V-5V-USBC,12v to 5v Converter USB-C,12v to 5v Converter USB-C,12V to 5V Converter USB-C
RAD-PWR-DIST-1X12,1X 12 Position Power Distribution Board,1X 12 Position Power Distribution Board,1x12 Position Power Distribution Board
RAD-DC-BARREL-GLAND,DC Barrel Glands,DC Barrel Glands,
RAD-CNLINKO-USBC,CNLINKO USB-C Gland,CNLINKO USB-C Gland,
RAD-LP12-4PIN-1M,CNLINKO LP12 4-Pin Circular Connector with 1 Meter Cable,CNLINKO LP12 4-Pin Circular Connector with 1 Meter Cable,
RAD-AUDIO-GLAND,Audio Gland,Audio Gland,
RAD-STANDOFFS-MP3-AMP,"Standoffs for MP3 Player, Amp, Power Distribution (50 pcs)","Standoffs for MP3 Player, Amp, Power Distribution (50 pcs)",
RAD-SCREWS-ST-19MM,"1"" Self Tapping Screws (250 pcs) 19mm","1"" Self Tapping Screws (250 pcs) 19mm",
RAD-SCREWS-ST-12MM,"1"" Self Tapping Screws (250 pcs) 12mm","1"" Self Tapping Screws (250 pcs) 12mm",
RAD-M3X6-SS,M3 x 6 mm 304 Stainless Steel Screws,M3 x 6 mm 304 Stainless Steel Screws,
RAD-M35X16-HEX,100 Pcs M3.5x16mm Stainless Steel Hex,100 Pcs M3.5x16mm Stainless Steel Hex,
RAD-WIRE-CONN-1IN3OUT,10Pcs Mini Electrical Wire Connectors 1in 3 out,10Pcs Mini Electrical Wire Connectors 1in 3 out,
RAD-WIRE-BUTT-2216,22 - 16 awg wire butt connectors – MP3,22 - 16 awg wire butt connectors – MP3,
RAD-HEATSHRINK-433X4,Heat Shrink Tube Wire (433mhz x4),Heat Shrink Tube Wire (433mhz x4),
RAD-AUDIO-JUMP-6IN,"6"" audio jump cable Amp & Out","6"" audio jump cable Amp & Out","6"" Audio Jump Cable Amp & Out"
RAD-12V-5A-PIGTAIL-M,"20-Pack 12V 5A DC Power Pigtail Cord Male Plug Connectors, 5.5mm x 2.1mm","20-Pack 12V 5A DC Power Pigtail Cord Male Plug Connectors, 5.5mm x 2.1mm",12V 5A DC Power Pigtail Cord Male Plug Connectors
RAD-FERRULE-AWG20-075,1000PCS Wire Ferrule Connectors AWG20 0.75mm²,1000PCS Wire Ferrule Connectors AWG20 0.75mm²,
RAD-AWG22-05,1000 PCS AWG 22/0.5mm²,1000 PCS AWG 22/0.5mm²,
RAD-WIRE-18AWG-SPOOL,18 AWG Stranded Wire Spool,18 AWG Stranded Wire Spool,
RAD-OUTDOOR-SPEAKER,Outdoor Speaker,Outdoor Speaker,
RAD-35MM-SPKR-PIGTAIL,"3.5mm 1/8"" to Speaker Wire, 2-Pack 10FT 3.5mm TS Mono Male Plug to Bare Wire Pigtail","3.5mm 1/8"" to Speaker Wire, 2-Pack 10FT 3.5mm TS Mono Male Plug to Bare Wire Pigtail",
RAD-LED-STRIP-33FT,"LED Strip(33Ft Smart Globe String Lights, 50 Dimmable RGB)","LED Strip(33Ft Smart Globe String Lights, 50 Dimmable RGB)",
RAD-USBF-USBCF-ADAPT,10 USB Female to USB C Female Adapter,10 USB Female to USB C Female Adapter,
RAD-WATERPROOF-GLAND,Waterproof Cable Gland,Waterproof Cable Gland,
RAD-SPARKAWAY-PLATE,Spark Away Voltage Plate w/ Shipping,Spark Away Voltage Plate w/ Shipping,
RAD-SPARKAWAY-HOUSING,Spark Away Housing (light fixture),Spark Away Housing (light fixture),
RAD-SPARKAWAY-STAKE,Metal Stake for Spark-away,Metal Stake for Spark-away,
RAD-SPARKAWAY-POLE,Spark Away Pole Extension,Spark Away Pole Extension,
RAD-SPARKAWAY-ADAPTER,Pipe Adapter for Spark Away,Pipe Adapter for Spark Away,
RAD-DC-CABLE-5M,5m DC power cable,5m DC power cable,
RAD-SOLAR-WILDGAME-D20,"Wildgame D20-18 20w Solar w/ Battery & 1m Cable, mount, shipping to US","Wildgame D20-18 20w Solar w/ Battery & 1m Cable, mount, shipping to US",
RAD-SCENT-DISPENSER,Scent Dispenser,Scent Dispenser,
RAD-SCENT-CABLES-ADAPTER,Scent Dispenser Cables & External Power adaptor,Scent Dispenser Cables & External Power adaptor,
RAD-SHIPPING-CUSTOMS,Est. Shipping & Customs,Est. Shipping & Customs,
RAD-SIM-DATA-PLAN,SIM Card / Data Plan,SIM Card / Data Plan,
